epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step,valBinaryAccuracy_epoch,valBinaryAccuracy_step,val_loss_epoch,val_loss_step
0,49,,,,,,0.3499999940395355,,0.6976261734962463,,,,
0,99,,,,,,0.4000000059604645,,0.6821892857551575,,,,
0,149,,,,,,0.550000011920929,,0.6485655307769775,,,,
0,199,,,,,,0.6000000238418579,,0.6292699575424194,,,,
0,249,,,,,,0.4000000059604645,,0.6504049897193909,,,,
0,299,,,,,,0.949999988079071,,0.6141183972358704,,,,
0,349,,,,,,0.949999988079071,,0.5879942178726196,,,,
,0,,,,,,,,,,1.0,,0.6004653573036194
,1,,,,,,,,,,0.9599999785423279,,0.6062155961990356
,2,,,,,,,,,,0.9800000190734863,,0.5977447628974915
,3,,,,,,,,,,1.0,,0.5934587717056274
,4,,,,,,,,,,1.0,,0.6202707886695862
,5,,,,,,,,,,0.9599999785423279,,0.60552978515625
,6,,,,,,,,,,0.9800000190734863,,0.6084697246551514
,7,,,,,,,,,,0.9399999976158142,,0.5975416302680969
,8,,,,,,,,,,1.0,,0.5997017621994019
,9,,,,,,,,,,0.9599999785423279,,0.603824257850647
,10,,,,,,,,,,0.9399999976158142,,0.5793408751487732
,11,,,,,,,,,,0.9800000190734863,,0.6051115989685059
,12,,,,,,,,,,0.9599999785423279,,0.5928160548210144
,13,,,,,,,,,,0.9800000190734863,,0.6038280725479126
,14,,,,,,,,,,1.0,,0.6001414656639099
,15,,,,,,,,,,0.9399999976158142,,0.6143157482147217
,16,,,,,,,,,,1.0,,0.5945183038711548
,17,,,,,,,,,,1.0,,0.571780800819397
,18,,,,,,,,,,1.0,,0.6104220747947693
,19,,,,,,,,,,1.0,,0.6015380620956421
0,349,,,,,,,,,0.9789999723434448,,0.6003518104553223,
0,349,,,,,0.6145714521408081,,0.6480798125267029,,,,,
1,399,,,,,,1.0,,0.5784246325492859,,,,
1,449,,,,,,1.0,,0.5741403102874756,,,,
1,499,,,,,,1.0,,0.5513240694999695,,,,
1,549,,,,,,1.0,,0.5396064519882202,,,,
1,599,,,,,,1.0,,0.5107201337814331,,,,
1,649,,,,,,1.0,,0.49158722162246704,,,,
1,699,,,,,,1.0,,0.46628451347351074,,,,
,20,,,,,,,,,,1.0,,0.46881380677223206
,21,,,,,,,,,,1.0,,0.47769367694854736
,22,,,,,,,,,,1.0,,0.4668252170085907
,23,,,,,,,,,,1.0,,0.4646385610103607
,24,,,,,,,,,,1.0,,0.49305206537246704
,25,,,,,,,,,,1.0,,0.47961166501045227
,26,,,,,,,,,,1.0,,0.4823095202445984
,27,,,,,,,,,,1.0,,0.47344645857810974
,28,,,,,,,,,,1.0,,0.47483325004577637
,29,,,,,,,,,,1.0,,0.47623351216316223
,30,,,,,,,,,,1.0,,0.449444055557251
,31,,,,,,,,,,1.0,,0.4751185476779938
,32,,,,,,,,,,1.0,,0.46394413709640503
,33,,,,,,,,,,1.0,,0.4760901629924774
,34,,,,,,,,,,1.0,,0.46830981969833374
,35,,,,,,,,,,1.0,,0.48428666591644287
,36,,,,,,,,,,1.0,,0.4636782705783844
,37,,,,,,,,,,1.0,,0.4436250329017639
,38,,,,,,,,,,1.0,,0.4793897569179535
,39,,,,,,,,,,1.0,,0.4748072028160095
1,699,,,,,,,,,1.0,,0.4718075394630432,
1,699,,,,,0.9988571405410767,,0.5378013253211975,,,,,
,0,,1.0,,0.47963178157806396,,,,,,,,
,1,,1.0,,0.4599926769733429,,,,,,,,
,2,,1.0,,0.4758348762989044,,,,,,,,
,3,,1.0,,0.45737534761428833,,,,,,,,
,4,,1.0,,0.4416414201259613,,,,,,,,
,5,,1.0,,0.4723046123981476,,,,,,,,
,6,,1.0,,0.47046956419944763,,,,,,,,
,7,,1.0,,0.47789859771728516,,,,,,,,
,8,,1.0,,0.4829452633857727,,,,,,,,
,9,,1.0,,0.46109744906425476,,,,,,,,
,10,,1.0,,0.4409201145172119,,,,,,,,
,11,,1.0,,0.49561408162117004,,,,,,,,
,12,,1.0,,0.47813278436660767,,,,,,,,
,13,,1.0,,0.4861544668674469,,,,,,,,
,14,,1.0,,0.479797899723053,,,,,,,,
,15,,1.0,,0.4675299823284149,,,,,,,,
,16,,1.0,,0.48639148473739624,,,,,,,,
